DIR,YAML_FULL_PATH,WITHIN_MANIFEST_SECRET,VALID_TAINT_SECRET,SEC_CONT_OVER_PRIVIL,INSECURE_HTTP,NO_SECU_CONTEXT,NO_DEFAULT_NSPACE,NO_RESO,NO_ROLLING_UPDATE,NO_NETWORK_POLICY,TRUE_HOST_PID,TRUE_HOST_IPC,DOCKERSOCK_PATH,TRUE_HOST_NET,CAP_SYS_ADMIN,HOST_ALIAS,ALLOW_PRIVI,SECCOMP_UNCONFINED,CAP_SYS_MODULE,K8S_STATUS,HELM_STATUS
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/tp.nsp.dflt.yaml,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/gcr.deployment.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/deamonset1.yaml,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/fp.no.secu.cont.yaml,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/multi.doc.yaml,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/present.varnish.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/tp.seccomp.unconfined.yaml,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/host-ipc-pid-true.yaml,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/fp.no.reso1.yaml,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,True,False
/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master,/Users/carson/Desktop/Spring 2023/Software QA/Project/CarsonMelton-SQA2023-AUBURN/KubeSec-master/TEST_ARTIFACTS/nginx.deployment.result.yaml,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,True,False
